Date,2022-08-10
Time,12-14-00

OtherInfo,,,Pulse On Duration (us),4102
DriveVoltage (V),3.7,,Pulse Off Duration (us),8000
HeaterResistance (Ohm),0.58,,Pulse Period (us),12102
PuffTrigger (Pa),0,,Fixed Power Mode
Power (W),8
Tester Name,Enter Your Name
Channel,A,

Pulse Count,Puff Count,Pulse Start (ms),Pulse End (ms),Resistance Start (Ω),Resistance End (Ω),Power Start (W),Power End (W),dR/dt (Ω/s),Energy in pulse (J),Pressure differential (Pa),Temperature (C)
22,1,288.89,293.74,0.63371,0.64869,8.12296,7.98574,3.09604,0.39063,17514,122
23,1,314.52,319.4,0.63756,0.65192,8.12382,8.00107,2.94212,0.39344,17514,126
24,1,327.38,332.25,0.63891,0.65372,8.10653,7.97869,3.03435,0.39167,17514,129
25,1,340.22,345.1,0.64037,0.6541,8.11806,8.00168,2.81221,0.39332,17514,129
26,1,353.09,357.97,0.64118,0.65515,8.10644,7.98815,2.86415,0.3927,17514,131
27,1,365.96,370.84,0.64246,0.65652,8.10634,7.98598,2.88233,0.39265,17514,133
28,1,378.84,383.76,0.64323,0.65788,8.11548,7.98594,2.97853,0.39609,17514,135
29,1,391.73,396.65,0.64517,0.65857,8.11264,7.98852,2.72571,0.39608,17514,136
30,1,404.64,409.55,0.64476,0.65945,8.12774,7.99576,2.98721,0.39583,17514,137
31,1,430.48,435.4,0.6478,0.6606,8.09436,7.97984,2.6035,0.39542,17514,139
32,1,443.4,448.35,0.64784,0.66212,8.11944,7.98589,2.88033,0.3986,17514,141
33,1,456.33,461.29,0.64842,0.66219,8.11754,8.01086,2.77957,0.39998,17514,141
34,1,469.28,474.24,0.64889,0.66284,8.10219,7.98884,2.81381,0.39905,17514,142
35,1,482.22,487.18,0.65004,0.6634,8.10322,7.98781,2.69635,0.39905,17514,143
36,1,495.17,500.16,0.65035,0.6641,8.1101,7.99666,2.75439,0.40186,17514,144
37,1,508.14,513.13,0.65098,0.66493,8.109,7.99282,2.79442,0.40174,17514,145
38,1,521.1,526.1,0.65203,0.66488,8.11128,7.99851,2.57085,0.40274,17514,145
39,1,534.08,539.07,0.65163,0.6657,8.11896,7.99331,2.8183,0.402,17514,146
40,1,547.05,552.05,0.65293,0.6664,8.11297,7.99073,2.69736,0.40259,17514,147
41,1,560.03,565.03,0.65242,0.66707,8.1258,7.99428,2.9342,0.403,17514,148
42,1,573.03,578.02,0.65289,0.66745,8.12277,8.00935,2.9141,0.40249,17514,149
43,1,586.02,591.02,0.6545,0.66717,8.09752,7.9992,2.53644,0.40241,17514,148
44,1,599.01,604,0.6553,0.66773,8.09149,7.98689,2.48948,0.40115,17514,149
45,1,612,617.03,0.65477,0.66763,8.11592,8.00574,2.55422,0.40545,17514,149
46,1,625,629.99,0.65506,0.66863,8.1009,7.9875,2.71563,0.4014,17514,150
47,1,637.99,643.03,0.6547,0.6701,8.11626,7.98551,3.05969,0.40576,17514,153
48,1,651,656.03,0.65675,0.67023,8.1137,7.99949,2.68007,0.40524,17514,153
49,1,664.02,669.06,0.65758,0.67052,8.10296,8.00305,2.57026,0.40587,17514,153
50,1,677.05,682.08,0.65776,0.6714,8.10115,7.98856,2.71107,0.40465,17514,154
51,1,703.1,708.17,0.65902,0.67147,8.1226,8.01363,2.45411,0.40905,17514,155
52,1,716.15,721.18,0.65915,0.67131,8.10662,7.99733,2.41511,0.40501,17514,154
53,1,729.18,734.26,0.65938,0.67191,8.10208,8.00062,2.47009,0.409,17514,155
54,1,742.22,747.29,0.65939,0.67304,8.10285,7.98753,2.69028,0.40789,17514,157
55,1,755.26,760.33,0.65918,0.67438,8.11519,7.98569,2.99915,0.40815,17514,159
56,1,768.31,773.38,0.66129,0.67314,8.10569,8.01263,2.33637,0.40859,17514,157
57,1,781.37,786.45,0.66122,0.67303,8.09322,8.00283,2.32804,0.40883,17514,157
58,1,794.42,799.5,0.66091,0.674,8.10576,7.98839,2.5809,0.40879,17514,158
59,1,807.47,812.54,0.66081,0.67462,8.11252,7.99996,2.72302,0.40845,17514,159
60,1,820.53,825.61,0.66213,0.67431,8.09556,8.00144,2.40103,0.40886,17514,159
61,1,846.65,851.72,0.66255,0.6752,8.09867,7.99465,2.49413,0.40796,17514,160
62,1,859.72,864.79,0.66253,0.67535,8.10565,7.99379,2.52682,0.40812,17514,160
63,1,872.79,877.9,0.66233,0.67574,8.11844,8.00362,2.62314,0.41191,17514,161
64,1,885.87,890.95,0.66339,0.67585,8.10328,7.996,2.45595,0.40892,17514,161
65,1,898.95,904.06,0.66378,0.67669,8.09903,7.99358,2.52532,0.41116,17514,162
66,1,912.03,917.14,0.66362,0.67644,8.10923,8.00427,2.50787,0.4117,17514,162
67,1,925.11,930.2,0.66424,0.67672,8.09456,8.00576,2.45489,0.40975,17514,162
68,1,938.2,943.31,0.66369,0.67731,8.10341,7.98087,2.6654,0.41095,17514,163
69,1,951.27,956.38,0.6645,0.67801,8.10972,7.99984,2.64406,0.41159,17514,164
70,1,964.37,969.48,0.6655,0.67719,8.10177,8.0004,2.28774,0.41141,17514,163
71,1,977.46,982.58,0.66511,0.67816,8.11138,7.98903,2.55185,0.41217,17514,164
72,1,1003.67,1008.78,0.66577,0.67868,8.09828,7.99019,2.5256,0.41106,17514,165
73,1,1029.86,1034.98,0.66743,0.67943,8.09411,7.99498,2.34424,0.41188,17514,166
74,1,1042.97,1048.08,0.66716,0.67975,8.10239,7.99509,2.45993,0.41129,17514,167
75,1,1056.08,1061.2,0.66779,0.68027,8.10051,7.99925,2.43965,0.41215,17514,167
76,1,1069.2,1074.31,0.66841,0.67947,8.09138,8.00934,2.16166,0.41137,17514,166
77,1,1082.31,1087.43,0.66759,0.68058,8.09507,7.98487,2.54003,0.41164,17514,168
78,1,1095.42,1100.57,0.66873,0.68083,8.09128,8.00377,2.34862,0.41444,17514,168
79,1,1121.66,1126.82,0.66922,0.68128,8.09536,8.00214,2.3391,0.41531,17514,169
80,1,1134.79,1139.94,0.66928,0.68163,8.09246,7.99246,2.39718,0.41418,17514,169
81,1,1147.91,1153.06,0.66975,0.68141,8.09798,8.00682,2.26354,0.41469,17514,169
82,1,1161.05,1166.2,0.6698,0.68245,8.08901,7.98137,2.45498,0.41381,17514,170
83,1,1174.17,1179.32,0.66976,0.68263,8.10953,8.00271,2.49634,0.41489,17514,171
84,1,1187.31,1192.47,0.67022,0.68264,8.1058,7.99133,2.40984,0.4153,17514,171
85,1,1200.46,1205.61,0.67064,0.6833,8.10391,8.00276,2.45783,0.41474,17514,172
86,1,1213.61,1218.76,0.67044,0.68386,8.10734,7.99375,2.60342,0.4146,17514,172
87,1,1226.75,1231.91,0.67036,0.68339,8.11349,8.00795,2.52828,0.41593,17514,172
88,1,1239.91,1245.06,0.67175,0.6829,8.09146,8.00338,2.1633,0.41444,17514,171
89,1,1253.06,1258.21,0.67142,0.68381,8.08712,7.9869,2.40453,0.4139,17514,172
90,1,1266.2,1271.39,0.67205,0.68407,8.10035,7.99692,2.31586,0.41772,17514,173
91,1,1279.36,1284.55,0.67192,0.68416,8.10083,7.99655,2.35808,0.41772,17514,173
92,1,1292.51,1297.71,0.67252,0.68398,8.10313,8.00497,2.20651,0.41881,17514,173
93,1,1305.68,1310.87,0.67316,0.68435,8.09351,7.99321,2.15401,0.41745,17514,173
94,1,1318.83,1324.02,0.67319,0.68463,8.09656,7.99973,2.20521,0.41769,17514,174
95,1,1332,1337.2,0.67364,0.686,8.0924,7.98827,2.37918,0.41809,17514,176
96,1,1345.17,1350.36,0.67316,0.68649,8.10961,7.99745,2.56751,0.41797,17514,176
97,1,1358.35,1363.54,0.67383,0.68537,8.11121,8.01036,2.22128,0.41835,17514,175
98,1,1371.53,1376.72,0.67375,0.6864,8.1025,7.9846,2.43514,0.41746,17514,176
99,1,1397.88,1403.07,0.67468,0.6862,8.09446,7.99746,2.21939,0.41758,17514,176
100,1,1411.06,1416.25,0.67388,0.68639,8.10743,8.00283,2.41079,0.41806,17514,176
101,1,1424.24,1429.43,0.67466,0.68774,8.0916,7.98785,2.52082,0.41726,17514,178
102,1,1437.42,1442.61,0.6751,0.68691,8.10235,8.00203,2.27528,0.4179,17514,177
103,1,1450.61,1455.8,0.67533,0.68724,8.09733,8.00008,2.29469,0.41772,17514,177
104,1,1463.8,1468.99,0.67587,0.68759,8.09348,7.99427,2.25739,0.41747,17514,178
105,1,1476.99,1482.18,0.67621,0.68691,8.1065,8.00548,2.05993,0.4181,17514,177
106,1,1490.18,1495.37,0.67567,0.68776,8.09413,7.99356,2.32809,0.41747,17514,178
107,1,1503.37,1508.56,0.67605,0.68748,8.10372,8.00126,2.2018,0.41792,17514,178
108,1,1516.56,1521.76,0.67592,0.68759,8.10001,8.00148,2.24644,0.41863,17514,178
109,1,1529.76,1534.95,0.67708,0.68841,8.08475,7.99648,2.18147,0.4173,17514,179
110,1,1542.95,1548.15,0.67666,0.68784,8.09368,8.00241,2.15003,0.41849,17514,178
111,1,1556.15,1561.34,0.67637,0.68789,8.09604,7.99803,2.2204,0.41764,17514,178
112,1,1582.54,1587.73,0.67686,0.68852,8.08536,7.99576,2.24644,0.4173,17514,179
113,1,1622.13,1627.36,0.67745,0.68936,8.0971,7.98639,2.27721,0.42058,17514,180
114,1,1635.33,1640.56,0.67814,0.68904,8.10185,8.00444,2.08269,0.42117,17514,180
115,1,1648.54,1653.78,0.67733,0.68939,8.10172,8.00339,2.30608,0.42195,17514,180
116,1,1661.76,1666.99,0.67869,0.68946,8.0858,7.99893,2.05918,0.42061,17514,181
117,1,1674.97,1680.2,0.67845,0.69,8.08937,7.99784,2.20901,0.42068,17514,181
118,1,1688.17,1693.41,0.6781,0.69071,8.09213,7.99299,2.40867,0.42143,17514,182
119,1,1701.38,1706.61,0.67828,0.69031,8.10329,7.99679,2.29936,0.42101,17514,182
120,1,1714.6,1719.83,0.67953,0.69021,8.09508,8.00293,2.04171,0.42096,17514,182
121,1,1727.82,1733.05,0.67957,0.69128,8.08707,7.98915,2.23849,0.42039,17514,183
122,1,1741.04,1746.27,0.67919,0.68982,8.10367,8.01752,2.03052,0.42156,17514,181
123,1,1754.27,1759.51,0.67933,0.69021,8.08082,7.99891,2.08052,0.42128,17514,182
124,1,1767.49,1772.72,0.67875,0.69164,8.09171,7.97871,2.46314,0.42024,17514,184
125,1,1780.7,1785.97,0.68004,0.69193,8.09573,8.00333,2.25502,0.42421,17514,184
126,1,1793.94,1799.17,0.67959,0.69154,8.10366,7.9977,2.28423,0.42105,17514,184
127,1,1807.17,1812.4,0.68009,0.69054,8.10329,8.01189,1.99768,0.42141,17514,182
128,1,1820.4,1825.63,0.67969,0.69226,8.0955,7.98338,2.40405,0.42046,17514,185
129,1,1833.62,1838.89,0.68078,0.69214,8.10025,8.00136,2.15585,0.42427,17514,184
130,1,1846.86,1852.13,0.68013,0.69299,8.10238,7.99561,2.44225,0.42418,17514,186
131,1,1860.1,1865.37,0.68055,0.69322,8.10364,7.99397,2.40502,0.42417,17514,186
132,1,1873.34,1878.61,0.68082,0.69257,8.10567,8.00917,2.22993,0.42462,17514,185
133,1,1886.59,1891.83,0.68115,0.69265,8.08699,8.00747,2.19452,0.42167,17514,185
134,1,1899.83,1905.06,0.681,0.69261,8.08661,7.98768,2.2201,0.42034,17514,185
135,1,1913.06,1918.33,0.68104,0.69345,8.09916,7.99428,2.3557,0.42406,17514,186
136,1,1926.31,1931.58,0.68139,0.69253,8.10174,8.01015,2.11524,0.42454,17514,185
137,1,1939.56,1944.83,0.68145,0.69285,8.08734,8.00325,2.16355,0.42398,17514,186
138,1,1966.04,1971.31,0.68123,0.69363,8.10474,7.99916,2.35257,0.42433,17514,187
139,1,1979.29,1984.56,0.68193,0.69362,8.09831,7.99467,2.21835,0.42405,17514,187
140,1,1992.54,1997.81,0.68169,0.69332,8.10648,8.0067,2.2074,0.42458,17514,186
141,1,2072.05,2077.32,0.68218,0.69382,8.09143,7.99671,2.20967,0.42392,17514,187
142,1,2085.3,2090.57,0.68254,0.69407,8.08834,8.00172,2.18793,0.42397,17514,187
143,1,2098.55,2103.82,0.68201,0.69447,8.09444,7.98702,2.3627,0.42374,17514,188
144,1,2111.8,2117.07,0.68241,0.6944,8.10642,8.00777,2.2749,0.4246,17514,188
145,1,2125.06,2130.33,0.68209,0.69533,8.10049,7.98859,2.51298,0.42394,17514,189
146,1,2138.32,2143.59,0.68251,0.69526,8.10979,7.99919,2.41868,0.42447,17514,189
147,1,2151.59,2156.85,0.68402,0.69613,8.09264,7.99935,2.29953,0.42321,17514,190
148,1,2164.85,2170.12,0.68496,0.69666,8.08424,7.99071,2.2192,0.42357,17514,191
149,1,2178.12,2183.43,0.68471,0.69822,8.09628,7.98465,2.54569,0.42694,17514,193
150,1,2191.4,2196.71,0.68614,0.69835,8.0924,8.00549,2.29937,0.42739,17514,193
151,1,2204.7,2210,0.68656,0.69865,8.09059,7.98982,2.27877,0.42613,17514,194
152,1,2217.99,2223.31,0.68794,0.69972,8.08383,8.0054,2.21363,0.42797,17514,195
153,1,2231.29,2236.6,0.68881,0.69949,8.07584,7.98562,2.01359,0.42643,17514,195
154,1,2271.22,2276.56,0.68869,0.70143,8.0976,7.99704,2.38293,0.42972,17514,198
155,1,2284.54,2289.89,0.68909,0.70098,8.0982,7.99851,2.22304,0.43058,17514,197
156,1,2297.86,2303.22,0.68893,0.70264,8.10081,7.99269,2.56057,0.4313,17514,200
157,1,2311.19,2316.53,0.6908,0.70174,8.09053,8.00334,2.04651,0.4297,17514,198
158,1,2324.52,2329.88,0.69084,0.70289,8.088,7.98805,2.2509,0.43083,17514,200
159,1,2337.85,2343.2,0.69028,0.70416,8.10462,7.9868,2.59651,0.43044,17514,202
160,1,2351.19,2356.58,0.6916,0.70416,8.10654,8.00121,2.33175,0.4341,17514,202
161,1,2364.55,2369.94,0.69198,0.70528,8.101,7.98826,2.47146,0.4336,17514,204
162,1,2377.91,2383.29,0.69324,0.70476,8.10281,8.0058,2.13895,0.43332,17514,203
163,1,2391.28,2396.66,0.69357,0.7063,8.08854,7.98973,2.36419,0.4325,17514,205
164,1,2404.64,2410.02,0.69478,0.70545,8.08878,8.00745,1.98135,0.43298,17514,204
165,1,2418.01,2423.4,0.69491,0.70598,8.07447,7.99889,2.05564,0.43317,17514,205
166,1,2431.38,2436.76,0.69491,0.70675,8.08624,7.9891,2.19891,0.43242,17514,206
167,1,2444.75,2450.13,0.69514,0.70663,8.09504,7.99789,2.13323,0.4329,17514,205
168,1,2471.51,2476.9,0.69479,0.70729,8.10334,7.99658,2.32073,0.43389,17514,206
169,1,2484.9,2490.32,0.69516,0.70696,8.10409,8.00814,2.1757,0.43664,17514,206
170,1,2498.29,2503.68,0.69517,0.70718,8.09591,8.00042,2.23081,0.43379,17514,206
171,1,2511.68,2517.06,0.6962,0.70692,8.08747,7.99865,1.99055,0.43271,17514,206
172,1,2525.06,2530.44,0.69569,0.70765,8.08941,7.99859,2.22129,0.43276,17514,207
173,1,2538.44,2543.83,0.6965,0.70745,8.08717,7.99196,2.03384,0.43333,17514,207
174,1,2551.83,2557.25,0.69592,0.70804,8.0941,8.00151,2.23564,0.43619,17514,208
175,1,2565.22,2570.64,0.69601,0.7084,8.0966,7.99236,2.28405,0.43601,17514,208
176,1,2578.61,2584.04,0.69635,0.70817,8.09947,8.01129,2.17893,0.4374,17514,208
177,1,2605.4,2610.83,0.69698,0.70869,8.09632,8.00569,2.15743,0.43716,17514,208
178,1,2618.81,2624.23,0.69656,0.70975,8.1005,7.98558,2.43088,0.43593,17514,210
179,1,2632.21,2637.63,0.69714,0.70921,8.10076,8.01129,2.22437,0.43663,17514,209
180,1,2645.62,2651.04,0.69756,0.70817,8.08209,8.00948,1.95683,0.43608,17514,208
181,1,2659.02,2664.45,0.69703,0.70932,8.08825,7.98557,2.26618,0.4364,17514,209
182,1,2672.41,2677.83,0.69874,0.70948,8.07597,8.0014,1.98038,0.43569,17514,210
183,1,2685.82,2691.24,0.69904,0.7085,8.07146,8.01061,1.74435,0.43582,17514,208
184,1,2699.22,2704.64,0.698,0.71066,8.07684,7.97588,2.33375,0.43502,17514,211
185,1,2726.03,2731.46,0.69844,0.70999,8.09086,8.00922,2.13002,0.43711,17514,210
186,1,2739.45,2744.87,0.69792,0.71047,8.0914,7.98327,2.31456,0.43562,17514,211
187,1,2752.86,2758.28,0.69788,0.70893,8.1079,8.02734,2.03818,0.43726,17514,209
188,1,2766.29,2771.71,0.69823,0.71028,8.077,7.97935,2.22069,0.43512,17514,211
189,1,2779.68,2785.11,0.69848,0.7111,8.09623,7.99363,2.32511,0.43683,17514,212
190,1,2793.1,2798.53,0.69969,0.71099,8.09479,7.9981,2.08283,0.43692,17514,212
191,1,2806.52,2811.98,0.69962,0.71215,8.0937,7.99399,2.2944,0.43919,17514,213
192,1,2833.38,2838.85,0.70008,0.71247,8.09268,8.00055,2.26855,0.44015,17514,214
193,1,2846.82,2852.28,0.701,0.71226,8.08009,8.00012,2.06266,0.43898,17514,214
194,1,2860.25,2865.71,0.70013,0.71269,8.09354,7.99134,2.29961,0.43911,17514,214
195,1,2873.68,2879.14,0.70071,0.71202,8.09277,8.0049,2.06996,0.43946,17514,213
196,1,2887.12,2892.59,0.70045,0.71244,8.08982,7.99804,2.19431,0.44,17514,214
197,1,2900.56,2906.02,0.70076,0.71258,8.09848,7.99472,2.16578,0.43934,17514,214
198,1,2913.99,2919.46,0.7015,0.71255,8.09166,8.00464,2.02324,0.44023,17514,214
199,1,2927.44,2932.9,0.70186,0.71182,8.08483,8.0065,1.822,0.43929,17514,213
200,1,2940.88,2946.34,0.7008,0.71236,8.08464,7.99662,2.11643,0.43901,17514,214
201,1,2954.31,2959.77,0.70098,0.71173,8.09065,8.00568,1.9692,0.43943,17514,213
202,1,2967.74,2973.2,0.70036,0.71252,8.0818,7.99543,2.22526,0.4389,17514,214
203,1,2981.17,2986.63,0.70093,0.71189,8.08755,8.00736,2.00533,0.43939,17514,213

0,2,0,4.1,0.57746,0.59623,7.8564,7.69656,4.5763,0.31883,17514,46
1,2,12.1,16.48,0.58498,0.60308,8.10067,7.94088,4.13779,0.35131,17514,55
2,2,24.46,28.87,0.59074,0.60893,8.09688,7.93546,4.1212,0.35351,17514,64
3,2,36.86,41.35,0.59604,0.61292,8.10448,7.96436,3.7572,0.36074,17514,70
4,2,49.32,53.81,0.6002,0.61679,8.10278,7.96205,3.69607,0.36065,17514,75
5,2,61.81,66.34,0.60356,0.62008,8.0986,7.9662,3.64734,0.36386,17514,80
6,2,74.33,78.9,0.60758,0.62268,8.0985,7.96772,3.30657,0.36711,22197,84
7,2,86.89,91.49,0.61028,0.62592,8.11151,7.96881,3.39473,0.36984,22197,89
8,2,99.47,104.11,0.61246,0.62932,8.11544,7.96827,3.627,0.37314,22197,93
9,2,112.08,116.72,0.61562,0.63157,8.11485,7.97192,3.4325,0.37321,22197,97
10,2,124.72,129.4,0.61752,0.63527,8.12739,7.96712,3.7876,0.37661,22197,102
11,2,137.38,142.11,0.62015,0.63677,8.13016,7.97992,3.51668,0.381,22197,104
12,2,150.08,154.8,0.62308,0.63831,8.11525,7.99639,3.22597,0.38023,22197,106
13,2,175.51,180.27,0.62665,0.64223,8.11411,7.98473,3.26907,0.38315,22197,112
14,2,188.25,193.02,0.62878,0.64458,8.11494,7.96562,3.31736,0.38352,22197,116
15,2,201.01,205.82,0.63094,0.64603,8.12371,7.9957,3.14146,0.38767,22197,118
16,2,213.81,218.61,0.6325,0.64869,8.11253,7.97644,3.37252,0.38613,22197,122
17,2,226.6,231.44,0.63479,0.64918,8.11472,7.99769,2.97151,0.38992,22197,122
18,2,239.42,244.26,0.63606,0.65119,8.10451,7.97508,3.1249,0.38912,22197,125
19,2,252.24,257.12,0.63813,0.65313,8.11514,7.97678,3.07261,0.39264,22197,128
20,2,265.09,269.96,0.64001,0.65449,8.10848,7.99659,2.96923,0.39215,22197,130
21,2,277.95,282.83,0.64123,0.65654,8.10841,7.96752,3.13856,0.39225,22197,133
22,2,290.82,295.74,0.6437,0.65673,8.11374,8.0105,2.64919,0.39665,22197,133
23,2,303.73,308.64,0.64346,0.65928,8.10716,7.97189,3.21802,0.39474,22197,137
24,2,316.62,321.58,0.6463,0.66015,8.10893,7.99003,2.79518,0.39925,22197,138
25,2,329.54,334.5,0.64711,0.66154,8.1134,7.98135,2.91258,0.39915,22197,140
26,2,355.42,360.38,0.64955,0.66365,8.10056,7.99285,2.84454,0.39911,22197,143
27,2,368.37,373.33,0.65066,0.66467,8.09843,7.9838,2.8272,0.39883,22197,145
28,2,381.33,386.32,0.65194,0.66553,8.10145,7.99615,2.71942,0.40163,22197,146
29,2,407.27,412.27,0.65362,0.66764,8.1026,7.98632,2.80687,0.40222,22197,149
30,2,420.26,425.29,0.65538,0.66865,8.09191,7.98866,2.63667,0.40442,22197,150
31,2,433.26,438.29,0.65571,0.66981,8.11116,7.98362,2.80075,0.40478,22197,152
32,2,446.27,451.3,0.65782,0.67041,8.10334,7.99807,2.4997,0.40495,22197,153
33,2,459.29,464.33,0.65748,0.67109,8.11139,7.99624,2.70336,0.40591,22197,154
34,2,472.32,477.36,0.65862,0.6727,8.10801,7.98075,2.79687,0.40543,22197,156
35,2,485.36,490.43,0.66007,0.67235,8.10341,8.01079,2.41931,0.40849,22197,156
36,2,498.41,503.48,0.66024,0.67365,8.09813,7.97941,2.64418,0.40756,22197,158
37,2,524.51,529.59,0.66191,0.67482,8.09612,7.99161,2.54639,0.40862,22197,159
38,2,537.57,542.65,0.66242,0.67476,8.10683,7.99842,2.43253,0.40907,22197,159
39,2,550.65,555.72,0.66259,0.67616,8.10415,7.98359,2.67425,0.40782,22197,161
40,2,563.72,568.83,0.66396,0.67656,8.10389,8.00472,2.4661,0.41157,22197,162
41,2,576.81,581.92,0.66483,0.67684,8.09318,7.99376,2.34947,0.41102,22197,162
42,2,589.89,595,0.6645,0.67753,8.10411,7.99264,2.5484,0.41127,22197,163
43,2,616.08,621.19,0.66554,0.679,8.10856,7.98772,2.63412,0.41126,22197,165
44,2,629.18,634.33,0.66607,0.6787,8.11125,8.00749,2.45322,0.41505,22197,165
45,2,642.3,647.41,0.66688,0.6797,8.10426,7.98001,2.50703,0.41095,22197,166
46,2,655.4,660.55,0.66736,0.67989,8.11712,8.00762,2.4338,0.41521,22197,167
47,2,668.53,673.68,0.66747,0.67996,8.10054,8.00164,2.42525,0.41463,22197,167
48,2,681.65,686.8,0.66813,0.68006,8.09982,7.99315,2.31637,0.41439,22197,167
49,2,694.77,699.92,0.66872,0.68006,8.09916,8.00592,2.20206,0.4147,22197,167
50,2,707.9,713.04,0.66936,0.68069,8.08225,7.9954,2.20035,0.41319,22197,168
51,2,721.02,726.17,0.66978,0.68124,8.08349,7.99363,2.22588,0.41398,22197,169
52,2,734.14,739.29,0.66976,0.68188,8.0936,7.99562,2.35252,0.41429,22197,170
53,2,747.27,752.43,0.6697,0.68223,8.10187,7.99677,2.43327,0.41534,22197,170
54,2,760.41,765.56,0.66988,0.68212,8.09979,8.0049,2.37633,0.41469,22197,170
55,2,773.55,778.7,0.67044,0.68268,8.08573,7.9928,2.37705,0.41402,22197,171
56,2,786.68,791.83,0.66999,0.68292,8.10381,7.99371,2.51024,0.41451,22197,171
57,2,799.82,804.97,0.67134,0.68282,8.09461,8.00055,2.22946,0.41445,22197,171
58,2,826.12,831.27,0.67149,0.68374,8.08019,7.98441,2.37962,0.41366,22197,172
59,2,839.26,844.45,0.67231,0.68366,8.09731,7.99855,2.18805,0.41768,22197,172
60,2,852.42,857.6,0.67222,0.68406,8.09592,8.00211,2.28117,0.41693,22197,173
61,2,865.57,870.76,0.67206,0.68474,8.10051,7.98568,2.44372,0.41743,22197,174
62,2,878.73,883.91,0.67315,0.68511,8.09764,7.99889,2.30446,0.4169,22197,174
63,2,891.9,897.09,0.6733,0.68515,8.09859,8.0012,2.28519,0.41779,22197,174
64,2,905.07,910.26,0.67357,0.6855,8.09364,8.00011,2.30013,0.41763,22197,175
65,2,918.24,923.43,0.67383,0.68531,8.09126,7.99486,2.20865,0.41743,22197,175
66,2,931.41,936.6,0.67434,0.68557,8.09177,8.00183,2.16304,0.41762,22197,175
67,2,944.58,949.77,0.67363,0.68594,8.094,7.99454,2.37345,0.41749,22197,175
68,2,970.94,976.13,0.67492,0.68692,8.08903,7.99039,2.31124,0.41726,22197,177
69,2,984.11,989.3,0.67499,0.68653,8.09688,7.99795,2.22278,0.41766,22197,176
70,2,997.3,1002.49,0.67587,0.68676,8.09392,8.00722,2.09855,0.41782,22197,177
71,2,1010.49,1015.68,0.67504,0.68676,8.09455,7.99224,2.25813,0.41745,22197,177
72,2,1023.68,1028.87,0.67492,0.68776,8.10948,7.99163,2.47173,0.41782,22197,178
73,2,1036.87,1042.1,0.67564,0.68734,8.10786,8.00481,2.23606,0.42134,22197,178
74,2,1050.07,1055.3,0.67516,0.68842,8.10825,7.99065,2.53637,0.42098,22197,179
75,2,1063.26,1068.49,0.67635,0.68795,8.09659,8.01036,2.21803,0.42119,22197,178
76,2,1076.47,1081.66,0.67688,0.68824,8.08908,7.99385,2.18944,0.41735,22197,179
